Date,Open,High,Low,Close,Adj Close,Volume
2000-05-26,3329.926514,3361.340820,3279.663330,3361.340820,2736.019775,420658
2000-05-29,3455.583984,3581.241699,3455.583984,3455.583984,2812.729980,387656
2000-05-30,3568.675781,3644.070557,3530.978516,3530.978516,2874.098877,113871
2000-05-31,3706.899414,4021.043213,3706.899414,3706.899414,3017.292725,442095
2000-06-01,3769.728027,3832.556885,3744.596680,3744.596680,3047.976563,226747
2000-06-02,3832.556885,4115.286621,3832.556885,3832.556885,3119.573486,327313
2000-06-05,4209.529785,4240.944336,4121.569336,4121.569336,3354.820068,177832
2000-06-06,3958.214600,4115.286621,3958.214600,3958.214600,3221.854492,553211
2000-06-07,4115.286621,4115.286621,4077.589111,4077.589111,3319.022217,201869
2000-06-08,4115.286621,4115.286621,4058.740479,4058.740479,3303.679688,2975969
2000-06-09,4083.872070,4109.003418,4052.457764,4052.457764,3298.566162,596950
2000-06-12,4109.003418,4152.983887,4077.589111,4077.589111,3319.022217,275353
2000-06-13,4140.417969,4215.812500,4109.003418,4109.003418,3344.592285,769879
2000-06-14,4083.872070,4083.872070,3958.214600,3958.214600,3221.854492,438031
2000-06-15,4021.043213,4021.043213,3713.182129,3713.182129,3022.406738,1383395
2000-06-16,3713.182129,3713.182129,3713.182129,3713.182129,3022.406738,0
2000-06-19,3713.182129,3713.182129,3713.182129,3713.182129,3022.406738,0
2000-06-20,3832.556885,4002.194580,3832.556885,3832.556885,3119.573486,533430
2000-06-21,3951.931641,3995.911865,3939.365967,3939.365967,3206.512695,539344
2000-06-22,3939.365967,3939.365967,3889.102783,3889.102783,3165.600342,775034
2000-06-23,3895.385742,3895.385742,3857.688477,3857.688477,3140.030029,188685
2000-06-26,3857.688477,3857.688477,3738.313721,3738.313721,3042.862793,219108
2000-06-27,3750.879395,3801.142578,3750.879395,3750.879395,3053.090820,742172
2000-06-28,3769.728027,3782.293945,3581.241699,3581.241699,2915.011475,1213191
2000-06-29,3581.241699,3600.090332,3424.169678,3424.169678,2787.159912,591801
2000-06-30,3392.755371,3644.070557,3329.926514,3329.926514,2710.448975,592772
2000-07-03,3518.412842,3738.313721,3518.412842,3518.412842,2863.870605,210647
2000-07-04,3581.241699,3769.728027,3581.241699,3581.241699,2915.011475,383696
2000-07-05,3694.333496,3863.971191,3549.827393,3549.827393,2889.441406,608529
2000-07-06,3782.293945,3794.859619,3549.827393,3549.827393,2889.441406,347961
2000-07-07,3549.827393,3549.827393,3549.827393,3549.827393,2889.441406,0
2000-07-10,3518.412842,3606.373291,3518.412842,3518.412842,2863.870605,27629
2000-07-11,3581.241699,3581.241699,3486.998535,3486.998535,2838.300293,715321
2000-07-12,3587.524658,3637.787598,3568.675781,3568.675781,2904.783447,383870
2000-07-13,3549.827393,3618.938965,3549.827393,3549.827393,2889.441406,186538
2000-07-14,3581.241699,3662.919189,3581.241699,3581.241699,2915.011475,249653
2000-07-17,3650.353516,3706.899414,3650.353516,3650.353516,2971.265869,199217
2000-07-18,3688.050781,3832.556885,3688.050781,3688.050781,3001.950439,636068
2000-07-19,3719.465088,3895.385742,3719.465088,3719.465088,3027.521240,159375
2000-07-20,3769.728027,3801.142578,3769.728027,3769.728027,3068.432617,252708
2000-07-21,3801.142578,3920.517090,3801.142578,3801.142578,3094.003418,145315
2000-07-24,3801.142578,3801.142578,3801.142578,3801.142578,3094.003418,0
2000-07-25,3895.385742,4008.477539,3851.405518,3851.405518,3134.916260,144748
2000-07-26,4021.043213,4090.155029,3964.497314,3964.497314,3226.968506,558990
2000-07-27,3964.497314,3964.497314,3964.497314,3964.497314,3226.968506,0
2000-07-28,4021.043213,4021.043213,3832.556885,3832.556885,3119.573486,936887
2000-07-31,3901.668701,3901.668701,3801.142578,3801.142578,3094.003418,775596
2000-08-01,3832.556885,3845.122803,3769.728027,3769.728027,3068.432617,452840
2000-08-02,3801.142578,3801.142578,3769.728027,3769.728027,3068.432617,192610
2000-08-03,3801.142578,3813.708252,3688.050781,3688.050781,3001.950439,422398
2000-08-04,3725.747803,3813.708252,3725.747803,3725.747803,3032.634521,391670
2000-08-07,3819.991211,3863.971191,3819.991211,3819.991211,3129.505127,666274
2000-08-08,3826.273926,3863.971191,3813.708252,3813.708252,3124.357178,313526
2000-08-09,3813.708252,3813.708252,3813.708252,3813.708252,3124.357178,0
2000-08-10,3832.556885,3889.102783,3832.556885,3832.556885,3139.799316,227804
2000-08-11,3863.971191,3876.537109,3832.556885,3832.556885,3139.799316,653410
2000-08-14,3863.971191,3958.214600,3838.839844,3838.839844,3144.946777,159622
2000-08-15,3920.517090,3951.931641,3832.556885,3832.556885,3139.799316,226243
2000-08-16,3845.122803,3870.254150,3819.991211,3819.991211,3129.505127,201265
2000-08-17,3876.537109,3876.537109,3769.728027,3769.728027,3088.326660,160709
2000-08-18,3782.293945,3782.293945,3706.899414,3706.899414,3036.854980,612055
2000-08-21,3738.313721,3857.688477,3719.465088,3719.465088,3047.149658,295054
2000-08-22,3863.971191,3895.385742,3832.556885,3832.556885,3139.799316,164590
2000-08-23,3807.425293,3807.425293,3738.313721,3738.313721,3062.591309,529394
2000-08-24,3769.728027,3832.556885,3769.728027,3769.728027,3088.326660,210296
2000-08-25,3782.293945,3895.385742,3782.293945,3782.293945,3098.621826,305592
2000-08-28,3895.385742,4052.457764,3895.385742,3895.385742,3191.271240,590617
2000-08-29,4021.043213,4083.872070,3995.911865,3995.911865,3273.626465,265819
2000-08-30,4065.023438,4209.529785,4065.023438,4065.023438,3330.246582,607412
2000-08-31,4146.700684,4272.358398,3895.385742,3895.385742,3191.271240,845949
2000-09-01,4083.872070,4209.529785,4021.043213,4021.043213,3294.215820,523801
2000-09-04,4115.286621,4178.115234,4115.286621,4115.286621,3371.423828,179938
